Cuneus	17,18
Anterior cingulate	24
Superior temporal gyrus	22
Insula	13
Middle Occipital Gyrus	18
Inferior Occipital	18
Gyrus Precuneus	7
Inferior frontal gyrus	9,44,45
Transverse Temporal Gyrus	41
Superior temporal gyrus	22,41
Insula	13
Inferior frontal gyrus	9,47
Precentral Gyrus	44
Precuneus	7
Superior Parietal Lobule	7
Middle Temporal Gyrus	37
Superior temporal gyrus	39
