Superior occipital gyrus	19
Middle Temporal Gyrus	22
Superior temporal gyrus	39
Precuneus	7,19
Posterior cingulate	29
Fusiform gyrus	19,37
Posterior cingulate	31
Cingulate Gyrus	31
Parahippocampal Gyrus	31
Parahippocampal Gyrus	19,36
Superior temporal gyrus	39
Middle Frontal Gyrus	46
Fusiform gyrus	19,37
Posterior cingulate	30
Cingulate Gyrus	31
Superior temporal gyrus	39
Middle Temporal Gyrus	21,39
Inferior frontal gyrus	45
